texto,label,Author,predicao,acerto,label_nome,predicao_nome
"pastel. Como um tapete vai rolando, além: De sucessivas cores, carrosel. Às margens dos seus versos entretém, De cores vegetais, debrum, cairel. Sonetossom, também, de cor brasil Tingido está, de índigo, de anil... Cores que a um povo deu prazer",0,Joaquim Cardozo,0,1,Não Portinari,Não Portinari
"Com os pés e os lábios rachados Pelo frio do inverno, saíamos Ao encontro dos companheiros, Mesmo quando a chuva monótona Invernava. Íamos ver os ninhos de Passarinhos, cada um zelava De uns quantos. Nenhum os maltratava. Levávamos alimentos para",1,,1,1,Portinari,Portinari
"lembrem de mim como de um que ouvia a chuva como quem assiste missa como quem hesita, mestiça, entre a pressa e a preguiça Publicado no livro Polonaises (1980). In: LEMINSKI, Paulo. Caprichos e relaxos. Prefácio de Haroldo de Campos.",0,Paulo Leminski,0,1,Não Portinari,Não Portinari
"eles Distribuíamos arapucas pelo pasto. Assim brincando, crescíamos. O vento passava sem destruir nada. Voltávamos correndo, Íamos Nos aquecer perto do fogo, Que nessa estação Permanecia aceso. Fazíamos pipoca. Às vezes, Confortados adormecíamos.",1,,1,1,Portinari,Portinari
"distensões de músculos Estáticos; imobilizam a vertigem dos abismos. Pontes que são saltos de vara Sobre os profundos paralisados; E o rumor que por elas vai Não consegue despertá-las do equilíbrio: Seu sono-silêncio, seu sono-limite. Os rios, embaixo caminham: estradas",0,Joaquim Cardozo,0,1,Não Portinari,Não Portinari
"fabricarem, lá no infinito, estava destinado a Realizar folhas de árvore ou… água. Por que vieste se nada sentes; me Habituaria a pensar em ti no silêncio Já eras uma fábula. Não ouves o que digo. Desconversas sempre. Quase nada",1,,1,1,Portinari,Portinari
"A vida só é possível reinventada. Anda o sol pelas campinas e passeia a mão dourada pelas águas, pelas folhas... Ah! tudo bolhas que vem de fundas piscinas de ilusionismo... — mais nada. Mas a vida, a vida, a vida,",0,Cecília Meireles,0,1,Não Portinari,Não Portinari
"Fizeram uma parada, uma parada Para o trem carregar café, Antes, estradas difíceis, só carros de bois Transitavam, levando dias e dias. Depois, uma casa aqui, outra ali. Formaram o povoado. Não Há rio, nem pedras. De tijolos caiados e",1,,1,1,Portinari,Portinari
"Minha vida é tua presença Teu espírito, tua voz, tua pele e Teu corpo. Tua claridade ilumina o escondido Até o céu caminhemos de mãos dadas Pelo azul. Perto das estrelas mais luminosas. Sem te tocar, meu corpo incendeia-se Se",1,,1,1,Portinari,Portinari
"de feiticeira para me encantar, mas meus anjos me guardavam. Encheram a orla do mar de despachos. Milhares de velas acesas Na noite triste vinha do mar a brisa com cheiro de Morte…",1,,1,1,Portinari,Portinari
"sonhos barrocos deslizando pelas pedras. Pátios de seixos. Escadas. Boticas. Pontes. Conversas. Gente que chega e que passa. E as idéias. Amplas casas. Longos muros. Vida de sombras inquietas. Pelos cantos da alcovas, histerias de donzelas. Lamparinas, oratórios, bálsamos, pílulas,",0,Cecília Meireles,0,1,Não Portinari,Não Portinari
"A madrugada conta-me sempre, e Sempre não entendo. Talvez Sejam avisos do mal que me sucede. As chuvaradas de meu Povoado… Estas nos traziam tanta alegria! Patinhávamos na enxurrada. Todos nós saíamos à rua Felizes em nossas roupas molhadas. As",1,,1,1,Portinari,Portinari
"As ventanias, à noite, Davam-nos um medo, um medo Comprido. Elas traziam todas As assombrações. As árvores Retorciam-se e assobiavam Forte. Nossas Casas frágeis, muitas vezes Eram destelhadas. Ninguém Dormia. Os relâmpagos Pareciam serpentes endemoniadas Pegando fogo. Ao amanhecer A",1,,1,1,Portinari,Portinari
"Sobressalente O mar olha-me dia e noite e nos abandonamos Às vezes, somente por alguns instantes Assiste minha solidão e ao trabalho A lua vai subindo em nossa frente Quando se apresenta nitidamente redonda Parece concentrar os olhos sobre mim",1,,1,1,Portinari,Portinari
"ou compro o doce e não guardo o dinheiro. Ou isto ou aquilo: ou isto ou aquilo... e vivo escolhendo o dia inteiro! Não sei se brinco, não sei se estudo, se saio correndo ou fico tranqüilo. Mas não consegui",0,Cecília Meireles,0,1,Não Portinari,Não Portinari
"Estou triste, Cortei o cabelo. Näo sou mais adolescente De tranças E olhos lânguidos. Näo sou mais moça, Balançando a crina, Como égua musculosa Na colina. Näo sou mais princesa, Usando tiaras, Arrastando a coma Como se tivesse na cabeça",0,Raquel Naveira,0,1,Não Portinari,Não Portinari
"Dez bailarinas deslizam por um chão de espelho. Têm corpos egípcios com placas douradas, pálpebras azuis e dedos vermelhos. Levantam véus brancos, de ingênuos aromas, e dobram amarelos joelhos. Andam as dez bailarinas sem voz, em redor das mesas. Há",0,Cecília Meireles,0,1,Não Portinari,Não Portinari
"Entre mim e mim, há vastidões bastantes para a navegação dos meus desejos afligidos. Descem pela água minhas naves revestidas de espelhos. Cada lâmina arrisca um olhar, e investiga o elemento que a atinge. Mas, nesta aventura do sonho exposto",0,Cecília Meireles,0,1,Não Portinari,Não Portinari
"Oh!, estrada do paraíso! Teria cortejo de anjos? Que tranquilidade! Sentia a erva Crescer, os pássaros imóveis em seus ninhos. Acompanhava-os o silêncio. Não sabia onde ia Meu cavalo, mestre em andanças, enxergava Mais à noite. Respirando a brisa amena,",1,,1,1,Portinari,Portinari
"todos, despreza ritmo jardins, estrelas, caudas, antenas, olhos, mas é desfolhado, cego, nu, dono apenas de si, da sua terminante grandeza despojada. Não se esquece que é água, ao desdobrar suas visões: água de todas as possibilidades, mas sem fraqueza",0,Cecília Meireles,0,1,Não Portinari,Não Portinari
"as folhas, e os pássaros. A luzinha na casa do lavrador, lá longe nos faz Imaginar: “Como são felizes aqueles”… O gado Ajeita-se para o descanso. O Senhor parece Abençoar, fica de vigília a noite toda. As Nuvens se dissolvem,",1,,1,1,Portinari,Portinari
"de moléstias pavorosas. Alimenta As dores dos recém-nascidos, do homem, da mulher, Do velho e do cão. Há repetição de ruídos Furacões, lamento de crianças com fome Andamos, mal-encarados, e com o pensamento Em enganar alguém. Desconfiados, temerosos Das doenças",1,,1,1,Portinari,Portinari
"de silêncios, cheio de nascimentos e pétalas. Igual à pedra detida, sustentando seu demorado destino. E à nuvem, leve e bela, vivendo de nunca chegar a ser. À cigarra, queimando-se em música, ao camelo que mastiga sua longa solidão, ao",0,Cecília Meireles,0,1,Não Portinari,Não Portinari
moinho de versosmovido a ventoem noites de boemiavai vir o diaquando tudo que eu digaseja poesia,0,Paulo Leminski,0,1,Não Portinari,Não Portinari
"Vi um galo azul, azul. Estava tão longe e se Podia ver, num segundo desapareceu, apenas o Seu canto ficou em meu ouvido. Pensei que já Seria madrugada. Não, não era madrugada. Escurecia e a lua mal despontava. Foi arte",1,,1,1,Portinari,Portinari
"tiraria o fôlego. Todo jardim deveria ter um jasmim-do-cabo, absorveríamos no pulmäo uma torrente de pétalas brancas e voaríamos como anjos tocando banjos na noite. (1994)",0,Raquel Naveira,0,1,Não Portinari,Não Portinari
"Emily Dickinson Emily Emily, ficaste na velha casa Reclusa até a luz de tua vida se extinguir docemente American history escureceu, um raio faiscou vermelho como brasa As crianças se assustaram e se foram tristemente Pressentiram o acontecimento Apagara-se o",1,,1,1,Portinari,Portinari
"coreto nos domingos. Badalava a hora da reza. Melancólicos, éramos obrigados a ir embora. Como demoravam passar os dias! As moças das fazendas só viriam no ano próximo.",1,,1,1,Portinari,Portinari
"sua passagem as flores ficarão mais belas Apareces em toda parte nas estradas, no mar, muitas vezes bem perto. Silenciosa pousas teu olhar em mim Meu pensamento gira em torno de ti.",1,,1,1,Portinari,Portinari
"(...) O RETIRANTE Não tenho pátria, nem glória... Embora — sinal da fome — Nas páginas secas da história Haja o meu nome e renome. Mateus, Bastião e Catirina entrando outra vez em cena, encontram o retirante e a ele",0,Joaquim Cardozo,0,1,Não Portinari,Não Portinari
"claridade trazia-nos alegria, Mesmo que os estragos fossem Grandes. Quase sempre lamentávamos A morte de um pinto ou a Ausência do cabritinho. Nunca mais vi o vento. Seria um bando de almas penadas Em fúria? Ou a queda de alguma",1,,1,1,Portinari,Portinari
"do seu corpo inteiro, tão leve e breve! Mas os melhores, só no Rio de Janeiro se encontram: se encontram apenas nesta cidade, a mui formosa.",0,Cecília Meireles,0,1,Não Portinari,Não Portinari
Entoava um salmo o peixe-anjo. Vi-o de azul voava ligeiro Assisti uma grande árvore dando concerto e vi as areias dançando. As águas do mar chorando e se debatendo. Ouvi as nuvens conversarem. O sol era mais luminoso nesse dia,1,,1,1,Portinari,Portinari
"mulher bonita; A tagarelice dos bondes e dos automóveis. Um camelô gritando: — alerta! Algazarra. Seis horas. Os sinos. Recife romântico dos crepúsculos das pontes, Dos longos crepúsculos que assistiram à passagem dos fidalgos [holandeses, Que assistem agora ao movimento",0,Joaquim Cardozo,0,1,Não Portinari,Não Portinari
"pele e caveira ao nada, não me importa quando. Mas quem viu, tão dilacerados, olhos, braços e sonhos seus e morreu pelos seus pecados, falará com Deus. Falará, coberta de luzes, do alto penteado ao rubro artelho. Porque uns expiram",0,Cecília Meireles,0,1,Não Portinari,Não Portinari
"aparecer nitidamente Redonda. Ficava espiando do nosso maracujazeiro. Surpreendido, vendo São Jorge à paisana, Pensei pedir-lhe o cavalo emprestado. Não me animei. A lua estava de vestido de Noiva. Os sinos começaram a badalar. As gentes acudiam, era a missa",1,,1,1,Portinari,Portinari
"de fala me faltam. Um papagaio pegou meu pensamento, amola palavras em polaco, imitando Articzewski (Cartepanie! Cartepanie!). Bestas geradas no mais aceso fogo do dia... Comer esses animais há de perturbar singularmente as coisas do pensar. Palmilho os dias entre",0,Paulo Leminski,0,1,Não Portinari,Não Portinari
"Na cheia Os camalotes bóiam, Estufados corpos aquáticos Que a correnteza leva; Conjunto de leques duros, Verdes, Que se dissolvem no silêncio; Aqui e ali um buquê de flores Arrebenta lilás; A malha fina de raízes Apanha peixes, Escamas, Pés",0,Raquel Naveira,0,1,Não Portinari,Não Portinari
Deus de violência Estou com vida mas estive sempre à espera De viver. Não sei por que estou isolado e só Sentimos a inutilidade em existir. Se houver Deus É de violência; nos deixa apodrecer ainda caminhando É o dono,1,,1,1,Portinari,Portinari
as lembranças De infância — nuvens brancas Desfilando: cidades Se movendo. Vou sobrando nada mais Existe. Assim sem alicerce vou afundando No vácuo.,1,,1,1,Portinari,Portinari
carvões em brasa e das fogueiras de São João. Das violetas sob a terra nos cemitérios Das cores claras das moças morenas. III Das gotas d’água afundadas nas pedras. Dos laranjais Sem laranja e das malvadezas. Das águas constantes e,1,,1,1,Portinari,Portinari
"Passaram os acontecimentos; Só não passam os sonhos. Tão Reais que ninguém saberia distingui-los De coisas acontecidas. Sentávamos ao Redor do fogo nas manhãs frias, na Colheita do café. O céu cobria-se de Luzes nas noites geladas. Deitado De costas,",1,,1,1,Portinari,Portinari
um dia a gente ia ser homero a obra nada menos que uma ilíada depois a barra pesando dava pra ser aí um rimbaud um ungaretti um fernando pessoa qualquer um lorca um éluard um ginsberg por fim acabamos o,0,Paulo Leminski,0,1,Não Portinari,Não Portinari
Os inventariantes I Os inventariantes pedirão conta dos cílios Apedrejados. Das madeiras inertes e dos cabelos Perdidos e dos egoísmos. Das penas das aves Das chuvas inúteis. Dos furacões e dos ventos II Dos espaços perdidos. Das lágrimas secas Dos,1,,1,1,Portinari,Portinari
"olhos que ainda brilham fulvos, agora, na eternidade igual de todos. Cem mil pupilas: — ilustres, insensatas, ferozes, melancólicas, vagas, severas, lânguidas . . . Cem mil pupilas vêem-se, na poeira da pedra deserta. Entre corredores e escadas, o cavo",0,Cecília Meireles,0,1,Não Portinari,Não Portinari
"Festas, procissões, banda de música, Leilões de prendas e o repique dos sinos, Passeio na retreta, moças bonitas, Todos com suas melhores roupas. Na plataforma da estação Esperávamos a chegada do trem Talvez viesse qualquer coisa Para nós: um volume",1,,1,1,Portinari,Portinari
"OS PRODÍGIOS DE BRASÍLIA. Desde verdes anos, via de regra, medito horizontal manhã cedo, só vindo à luz já sol meiodia. Estar, mister de deuses, na atual circunstância, presença no estanque dessa Vrijburg , gaza de mapas, taba rasa de",0,Paulo Leminski,0,1,Não Portinari,Não Portinari
gasto À toa à toa. Se soubesse conversar com a erva Macia. Sem jeito piso-a esmagando-a Impedido de um encontro desejado.,1,,1,1,Portinari,Portinari
"De onde em onde, vão e vêm; de quando em vez, vêem o que tem. Perante o segundo elemento, a manada anda e desanda, papa e bebe, mama e baba. Depois da laguna, enchem a anterior lacuna. Anta, nunca a",0,Paulo Leminski,0,1,Não Portinari,Não Portinari
"Sou uma sombra sem corpo, Sou um rosto sem pessoa, Um vento sem ar soprando, Sem som, um canto, uma loa. Nem as palavras definem O meu tão grande vazio, Todo o gesto que me exprime Todo o meu gesto",0,Joaquim Cardozo,0,1,Não Portinari,Não Portinari
"calendário que um astrólogo arbitrário inventou para meu uso. E roda a melancolia seu interminável fuso! Não me encontro com ninguém (tenho fases como a lua...) No dia de alguém ser meu não é dia de eu ser sua... E,",0,Cecília Meireles,0,1,Não Portinari,Não Portinari
"lágrimas. Tudo está mudado. Este é o lenço de Marília como foi bordado. Só nuvens, só muitas nuvens vêm pousando, têm pousado entre os desenhos tão finos de azul e encarnado. Conta já século e meio de guardado. Que amores",0,Cecília Meireles,0,1,Não Portinari,Não Portinari
"de alegrias. Como Era imenso o pequeno povoado! Cada um de nós tinha namorada, Mesmo sem ela saber. Nos bailes nossos olhos acompanhavam A mais bela. Quando tudo terminava, A tristeza descia sobre nós… Só nos restava a Volta do",1,,1,1,Portinari,Portinari
"madrugadas daqueles tempos Eram raras. Despertávamos Ouvindo o canto dos carros de bois. O sono nos largava, ficávamos À espera do clarear do dia Para sairmos. Os sons Longínquos ou próximos Faziam-nos palpitar. Por onde Andarão aquelas madrugadas?",1,,1,1,Portinari,Portinari
"Alento que se estendeu do fogo, E que lhe veio em sangue ardente, Em respiração rumorosa de brancos vapores. Uma dentre elas Que era preta, violentamente, luzidia; Que era preta, vagarosamente preta; Preta e lentamente e luzidia; Avançando, transpôs o",0,Joaquim Cardozo,0,1,Não Portinari,Não Portinari
Num pé de café nasci. O trenzinho passava Por entre a plantação. Deu a hora Exata. Nesse tempo os velhos Imigrantes impressionavam os recém-chegados. O tema do falatório era o lobisomem. A lua e o sol passavam longe. Mais tarde,1,,1,1,Portinari,Portinari
"maravilhado, olhando, Pedia a Deus para morrer. Tinha perto de sete anos, seria Anjo. Depois dos sete nem caixão azul Teria. Por onde andais, meus sonhos? Voltarei a sonhar? Estarei sonhando?",1,,1,1,Portinari,Portinari
"pés estragados, dos dedos perdidos. Da nave morta e Repelida, cheia de gente viva. Dos fornos queimando vivos. Mulheres antigas e jovens… Pedirão conta das éguas",1,,1,1,Portinari,Portinari
Que és sempre o mesmo. Que morrerás por idades imensas. Até não teres medo de morrer. E então serás eterno.,0,Cecília Meireles,0,1,Não Portinari,Não Portinari
"Eu não tinha este rosto de hoje, Assim calmo, assim triste, assim magro, Nem estes olhos tão vazios, Nem o lábio amargo. Eu não tinha estas mãos sem força, Tão paradas e frias e mortas; Eu não tinha este coração",0,Cecília Meireles,0,1,Não Portinari,Não Portinari
"do galo. Os dos sítios do Adão e dos olhos-d’água Lá estavam desde cedo. As estrelas baixaram iluminando o lado De fora da igreja, onde se aglomeravam As gentes, os cães e os animais de montaria. O Dragão veio se",1,,1,1,Portinari,Portinari
nada que o sol não explique tudo que a lua mais chique não tem chuva que desbote essa flor,0,Paulo Leminski,0,1,Não Portinari,Não Portinari
"remorso, maldito seja que olhas pra trás, lá pra trás não há nada, e nada mais mas problemas não se resolvem, problemas têm família grande, e aos domingos saem todos a passear o problema, sua senhora e outros pequenos probleminhas.",0,Paulo Leminski,0,1,Não Portinari,Não Portinari
"e quanto adeus Neste mar de infelicidades! Oh! Paisagens minhas de antanho . . . Velhas, velhas . . . Nem vivem mais . . . — As nuvens passam desiguais, Com sonolência de rebanho . . . Seres e",0,Cecília Meireles,0,1,Não Portinari,Não Portinari
Mulas sem cabeça povoando O mundo. Enchendo-o E o espaço continua vazio… Renegados como leprosos Vagamos: Perdidos pelas estradas… O escuro permanente… No céu não haverá piedade? A desgraça cai como uma pedra dura…,1,,1,1,Portinari,Portinari
"Corri muitos caminhos, vi muitas Madrugadas estive dentro do fogo Amanheci dormindo nas águas dos rios Tudo para encontrar qualquer Coisa branca. Existirá mesmo? Andei andei até o céu. Perguntei A todas as estrelas sem resultado Estaria desejando o branco",1,,1,1,Portinari,Portinari
"um todo harmonioso? Na expressão dos olhos, Nos gestos, Nos movimentos de quem sabe Recolher água em cântaros Para beber E banhar-se? A graça estaria no espírito? Seria beleza invisível, Estilo de ser, Dons e virtudes Escorrendo como caudas de",0,Raquel Naveira,0,1,Não Portinari,Não Portinari
"Em cada banco de pedra há mais de um Casal de namorados. Nunca vivi assim Fui diferente; fui sempre sobressalente Em tudo. O que todos tiveram não tive Às vezes, penso ter vindo por engano. O material usado para me",1,,1,1,Portinari,Portinari
"""um fingimento deveras"" (Fernando Pessoa), ""criticism of life"" (Mattew Arnold), ""palavra-coisa"" (Sartre), ""linguagem em estado de pureza selvagem"" (Octávio Paz), ""poetry is to inspire"" (Bob Dylan), ""design de linguagem"" (Decio Pignatari), ""lo imposible hecho posible"" (Garcia Lorca), ""aquilo que se",0,Paulo Leminski,0,1,Não Portinari,Não Portinari
sua grande arcada O vento soprando teus poemas. E a noite silenciosa será sempre tua Emily Emily,1,,0,0,Portinari,Não Portinari
"subindo. Por ódio, cobiça, inveja, vai sendo o inferno traçado. Os reis querem seus tributos, — mas não se encontram vassalos. Mil bateias vão rodando, mil bateias sem cansaço. Mil galerias desabam; mil homens ficam sepultos; mil intrigas, mil enredos",0,Cecília Meireles,0,1,Não Portinari,Não Portinari
"a nossa passagem nesta rua, nesta tarde, neste outono, nesta cidade, neste mundo, neste dia. (Não leias o nome da rua, - não leias!) Conta as tuas historias de amor como quem estivesse gravando, vagaroso, um fiel diamante. E tudo",0,Cecília Meireles,0,1,Não Portinari,Não Portinari
"escorre de meus dedos colore as areias desertas. O vento vem vindo de longe, a noite se curva de frio; debaixo da água vai morrendo meu sonho, dentro de um navio... Chorarei quanto for preciso, para fazer com que o",0,Cecília Meireles,0,1,Não Portinari,Não Portinari
"Faltam-me as pernas. Tenho um braço e meus Olhos são fracos. O coração palpitando Sempre. Vim da terra vermelha e do Cafezal. As almas penadas, os brejos e as matas virgens Acompanham-me como o espantalho, Que é meu autorretrato. Todas",1,,1,1,Portinari,Portinari
"primeiro contato com eles, esvoaçou tua alma delicada e etérea Bem no alto brilha a tua poesia como um sol que faz viver Não te importes por não teres conhecido mais terras Mil vezes a solidão e o silêncio para",1,,1,1,Portinari,Portinari
"sei de ti e nada Queres saber de mim. Sequei como a árvore no campo O pouco de verde aparenta Vida. Meus amigos mortos, mais Vivos e mais estimados. Só eles me darão vida… Estão colocados em minha Memória com",1,,1,1,Portinari,Portinari
cansei da frase polidapor anjos da cara pálidapalmeiras batendo palmasao passarem paradasagora eu quero a pedradachuva de pedras palavrasdistribuindo pauladas,0,Paulo Leminski,0,1,Não Portinari,Não Portinari
"Salinas de Santo Amaro,Ondas de terra salgada,Revoltas, na escuridão,De silêncio e de naufrágioCobrindo a tantos no chão.Terra crescida, plantadaDe muita recordação.",0,Joaquim Cardozo,1,0,Não Portinari,Portinari
os homens senhores da economia Se assustariam e raivosos do seu convívio te baniriam Já tinhas deixado aquele convívio desde que os conheceste Não supunham quem eras aqui na terra Não entenderiam teu mundo que vai além do celeste Ao,1,,1,1,Portinari,Portinari
"melancolia. Neves do tempo dos anjos; Véus de noivas e de monjas, Bem tramados, bem tecidos De renúncias e lisonjas. Comparo, combino, arrisco, Passagens procuro a êsmo sobre o profundo intervalo Que vai de mim a mim mesmo. Lua cheia,",0,Joaquim Cardozo,0,1,Não Portinari,Não Portinari
"De aspecto diferente não se mostra Mais, nem nos dias de sol Nem nos dias sombrios. Maria de Nazaré caminha para Belém passando Caná. O céu de madrepérola da terra dos santos acompanha a inquietude também Maria de Nazaré Com",1,,1,1,Portinari,Portinari
o paulo leminski é um cachorro louco que deve ser morto a pau a pedra a fogo a pique senão é bem capaz o filho da puta de fazer chover em nosso piquenique,0,Paulo Leminski,0,1,Não Portinari,Não Portinari
conviver Do que os que estavam ao teu redor sem saberem quem eras Com o cortejo dos anjos te acompanhando Vão as flores de teus versos nos redimindo: O azul refletindo nos anjos e as espadas de fogo iluminando A,1,,1,1,Portinari,Portinari
que custardesejaquem quer que sejatem calendário de tristezascelebrartanto evitar o inevitávelin vino veritasme pareceverdadeo pau na vidao vinagrevinho suavepense e te pareçasenão eu te invento por toda a eternidade,0,Paulo Leminski,0,1,Não Portinari,Não Portinari
"Hoje que seja esta ou aquela, pouco me importa. Quero apenas parecer bela, pois, seja qual for, estou morta. Já fui loura, já fui morena, já fui Margarida e Beatriz. Já fui Maria e Madalena. Só não pude ser como",0,Cecília Meireles,0,1,Não Portinari,Não Portinari
o olho e transfusões de sangue com água Nas filas de leite com água e nas filas de pedir água. V Nas filas intermináveis da morte que não chega… Pedirão conta do lodo. Das espadas brancas. Dos cães amedrontados Dos,1,,1,1,Portinari,Portinari
Amanheci sentado na escada de Jacob. Pedi ao vento para levar-me a Bercheba. Fomos num instante. Encontrei Abraão.,1,,1,1,Portinari,Portinari
"Trilhados no mesmo chão; Pelas margens das estradas: Rosário, cruz, coração... Mulheres rezando as lágrimas, Passando as gotas na mão. Aqui caíram as asas Dos anjos. Rudes caminhos Adornam covas pequenas De urtiga branca e de espinhos; Mais perto cheguei",0,Joaquim Cardozo,0,1,Não Portinari,Não Portinari
"telhas antigas São as construções; de taipas e Arame farpado, os divisores. Lugar arenoso no meio da terra roxa Cafeeira. Imenso céu azul circula O areal. Milhares de brancas nuvens Viajam. Caravanas luminosas Em movimento. O mais solitário, ali Deixaria",1,,1,1,Portinari,Portinari
"Nem medo e nem coragem Solidão completa… Procurando nas colinas e nos brejos Nas ruas e nas cadeias, no manicômio E nos teatros e nos jogos de futebol E nos conventos. Achei? Já não me lembro. Alguma Coisa branca e",1,,1,1,Portinari,Portinari
"Quando o crepúsculo tingir as últimas Nuvens haverá o dia de lua. Só os simples Se alegrarão. As estradas brancas, as montanhas recostadas no Céu, os animais e toda a criação do Universo Ficam plantadas ali. Paz repousante, Movem-se suavemente",1,,1,1,Portinari,Portinari
"de sê-lo. Toda essa fagueira Companhia. Alegre e promissor Futuro… As festas, os bailes, a banda de música Procissões e o sino repicando… Muito povo endomingado Noites enluaradas e todas as estrelas Eram mais claras do que os dias nos",1,,1,1,Portinari,Portinari
a lua dirige A noite. O pequeno riacho serpenteando vagaroso Acompanha a beleza do DIA DE LUA,1,,1,1,Portinari,Portinari
desmontando o brinquedo. eu descobri que o frevo tem muito a ver com certo jeito mestiço de ser um jeito misto de querer isto e aquilo sem nunca estar tranquilo com aquilo nem com isto de ser meio e meio,0,Paulo Leminski,0,1,Não Portinari,Não Portinari
"ternura, os delicados adeuses? Que valem as pálpebras da tímida esperança, orvalhadas de trêmulo sal? O sangue e a lágrima são pequenos cristais sutis, no profundo diagrama. E o homem tão inutilmente pensante e pensado só tem a tristeza para",0,Cecília Meireles,0,1,Não Portinari,Não Portinari
quedas; sezões; picadas de cobras; sarampos e erisipelas . . . Candombeiros. Feiticeiros. Ungüentos. Emplastos. Ervas. Senzalas. Tronco. Chibata. Congos. Angolas. Benguelas. Ó imenso tumulto humano! E as idéias. Banquetes. Gamão. Notícias. Livros. Gazetas. Querelas. Alvarás. Decretos. Cartas. A Europa,0,Cecília Meireles,0,1,Não Portinari,Não Portinari
"gente civil, lá morituro. Isso de “barbarus — non intellegor ulli” — dos exercícios de exílio de Ovídio é comigo. Do parque do príncipe, a lentes de luneta, CONTEMPLO A CONSIDERAR O CAIS, O MAR, AS NUVENS, OS ENIGMAS E",0,Paulo Leminski,0,1,Não Portinari,Não Portinari
"cometas? Gazela, Bailarina, Camélia, Que graça seria a dela? Que milagre inspirado Era Maria Cheia de graça!",0,Raquel Naveira,0,1,Não Portinari,Não Portinari
"seus mortos. E tenho de procurar meus tios remotos afogados. Tenho de levar-lhes redes de rezas, campos convertidos em velas, barcas sobrenaturais com peixes mensageiros e cantos náuticos. E fico tonta. acordada de repente nas praias tumultuosas. E apressam-me, e",0,Cecília Meireles,0,1,Não Portinari,Não Portinari
